,address_number_primary,address_dir_primary,address_road_primary,address_sfx_primary,address,loc
197,500,,05TH,AVE,"500 05TH AVE, San Diego, CA, USA",
198,800,,GARNET,AVE,"800 GARNET AVE, San Diego, CA, USA","Garnet Avenue, San Diego, San Diego County, California, 92109, United States"
199,3700,,41ST,ST,"3700 41ST ST, San Diego, CA, USA","41st Street, Castle, City Heights, San Diego, San Diego County, California, 92105, United States"
200,0,,05TH,AVE,"0 05TH AVE, San Diego, CA, USA",
201,1900,,LOGAN,AVE,"1900 LOGAN AVE, San Diego, CA, USA","Logan Avenue, Sherman Heights, San Diego, San Diego County, California, 92101, United States"
202,4000,,FRONT,ST,"4000 FRONT ST, San Diego, CA, USA","Front Street, Marina District, San Diego, San Diego County, California, 92101-3414, United States"
203,1800,,ROSECRANS,ST,"1800 ROSECRANS ST, San Diego, CA, USA","Rosecrans Street, Roseville, San Diego, San Diego County, California, 92110, United States"
204,600,,06TH,AVE,"600 06TH AVE, San Diego, CA, USA",
205,700,,F,ST,"700 F ST, San Diego, CA, USA","San Diego, San Diego County, California, United States"
206,10900,,IVY HILL,DR,"10900 IVY HILL DR, San Diego, CA, USA","Ivy Hill Drive, San Diego, San Diego County, California, 92131, United States"
207,6800,,PANAMINT,ROW,"6800 PANAMINT ROW, San Diego, CA, USA","Panamint Row, South Bay Terraces, San Diego, San Diego County, California, 92139, United States"
208,500,,WEST,ST,"500 WEST ST, San Diego, CA, USA","West Street, Lincoln Park, San Diego, San Diego County, California, 92102-4810, United States"
209,4700,,LOGAN,AVE,"4700 LOGAN AVE, San Diego, CA, USA","Logan Avenue, Sherman Heights, San Diego, San Diego County, California, 92101, United States"
210,5600,,CAMPANILE,WAY,"5600 CAMPANILE WAY, San Diego, CA, USA","Campanile Way, Montezuma Mesa, San Diego, San Diego County, California, 92115, United States"
211,700,,05TH,AVE,"700 05TH AVE, San Diego, CA, USA",
212,9500,,MIRAMAR,RD,"9500 MIRAMAR RD, San Diego, CA, USA","Miramar Road, Little India, San Diego, San Diego County, California, 92126, United States"
213,30,,17TH,ST,"30 17TH ST, San Diego, CA, USA","17th Street, East Village, Banker's Hill, San Diego, San Diego County, California, 92101, United States"
214,5100,,LA DORNA,ST,"5100 LA DORNA ST, San Diego, CA, USA","La Dorna Street, Mid-City, Del Cerro, San Diego, San Diego County, California, 92182, United States"
215,0,,G,ST,"0 G ST, San Diego, CA, USA","San Diego, San Diego County, California, United States"
216,4400,,MENLO,AVE,"4400 MENLO AVE, San Diego, CA, USA","Menlo Avenue, Fox Canyon, City Heights, San Diego, San Diego County, California, United States"
217,0,,30TH,ST,"0 30TH ST, San Diego, CA, USA","30th Street, North Park, San Diego, San Diego County, California, 92104, United States"
218,3100,,MISSION,BLV,"3100 MISSION BLV, San Diego, CA, USA","Mission Boulevard, San Diego, San Diego County, California, 92109, United States"
219,10900,,GLENCREEK,CIR,"10900 GLENCREEK CIR, San Diego, CA, USA","Glencreek Circle, San Diego, San Diego County, California, 92131, United States"
220,2200,,PACIFIC BEACH,DR,"2200 PACIFIC BEACH DR, San Diego, CA, USA","Pacific Beach Drive, Pacific Beach, San Diego, San Diego County, California, 92109, United States"
221,4600,,33RD,ST,"4600 33RD ST, San Diego, CA, USA","33rd Street, Normal Heights, San Diego, San Diego County, California, 92116, United States"
222,6700,,SOUTH ELMAN,ST,"6700 SOUTH ELMAN ST, San Diego, CA, USA","South Elman Street, Linda Vista, San Diego, San Diego County, California, 92111, United States"
223,7000,,MARSH WREN,ST,"7000 MARSH WREN ST, San Diego, CA, USA","Marsh Wren Street, Carlsbad, San Diego County, California, 92011, United States"
224,400,,03RD,AVE,"400 03RD AVE, San Diego, CA, USA",
225,4600,,33RD,ST,"4600 33RD ST, San Diego, CA, USA","33rd Street, Normal Heights, San Diego, San Diego County, California, 92116, United States"
226,3600,,FAIRMOUNT,AVE,"3600 FAIRMOUNT AVE, San Diego, CA, USA","3600, Fairmount Avenue, Fox Canyon, City Heights, San Diego, San Diego County, California, 92105, United States"
227,1000,S,32ND,ST,"1000 S 32ND ST, San Diego, CA, USA","South 32nd Street, San Diego, San Diego County, California, 92136, United States"
228,5600,,ALBEMARLE,ST,"5600 ALBEMARLE ST, San Diego, CA, USA","Albemarle Street, National City, San Diego County, California, 92139, United States"
229,10300,,FRIARS,RD,"10300 FRIARS RD, San Diego, CA, USA","Friars Road, San Diego, San Diego County, California, 92108, United States"
230,1000,,04TH,AVE,"1000 04TH AVE, San Diego, CA, USA",
231,0,,IMPERIAL,AVE,"0 IMPERIAL AVE, San Diego, CA, USA","Imperial Avenue, Mountain View, San Diego, San Diego County, California, 92102-4810, United States"
232,3700,,SOUTHVIEW,DR,"3700 SOUTHVIEW DR, San Diego, CA, USA","Southview Drive, San Diego, San Diego County, California, 92117, United States"
233,6800,,FRIARS,RD,"6800 FRIARS RD, San Diego, CA, USA","Friars Road, San Diego, San Diego County, California, 92108, United States"
234,2900,,CLAIREMONT,DR,"2900 CLAIREMONT DR, San Diego, CA, USA","Clairemont Drive, Sunset, San Diego, San Diego County, California, 92110, United States"
235,6100,,GALANTE,PL,"6100 GALANTE PL, San Diego, CA, USA","Galante Place, Pacific Highlands Ranch, San Diego, San Diego County, California, 92130-5404, United States"
236,0,S,EUCLID,AVE,"0 S EUCLID AVE, San Diego, CA, USA","South Euclid Avenue, San Diego, San Diego County, California, 92102-4810, United States"
237,0,,06TH,AVE,"0 06TH AVE, San Diego, CA, USA",
238,500,,04TH,AVE,"500 04TH AVE, San Diego, CA, USA",
239,600,,F,ST,"600 F ST, San Diego, CA, USA","San Diego, San Diego County, California, United States"
240,1400,,KETTNER,BLV,"1400 KETTNER BLV, San Diego, CA, USA","Kettner Boulevard, Five Points, San Diego, San Diego County, California, 92103, United States"
241,10800,,VIA LOMBARDIA,,"10800 VIA LOMBARDIA, San Diego, CA, USA","Via Lombardia, San Diego, San Diego County, California, 92129-2935, United States"
242,6200,,ESTELLE,ST,"6200 ESTELLE ST, San Diego, CA, USA","Estelle Street, El Cerrito Heights, San Diego, San Diego County, California, 92115, United States"
243,6500,,REFLECTION,DR,"6500 REFLECTION DR, San Diego, CA, USA","Reflection Drive, Grantville, San Diego, San Diego County, California, 92123, United States"
244,7900,,SKYLINE,DR,"7900 SKYLINE DR, San Diego, CA, USA","Skyline Drive, Lomita, San Diego, San Diego County, California, 91239, United States"
245,3000,,44TH,ST,"3000 44TH ST, San Diego, CA, USA","44th Street, Ridgeview, San Diego, San Diego County, California, 92105, United States"
246,3900,,HIGHLAND,AVE,"3900 HIGHLAND AVE, San Diego, CA, USA","Highland Avenue, Chula Vista, San Diego County, California, 92010-1407, United States"
247,0,,LORING,ST,"0 LORING ST, San Diego, CA, USA","Loring Street, San Diego, San Diego County, California, 92109, United States"
248,3000,,MARTIN,AVE,"3000 MARTIN AVE, San Diego, CA, USA","Martin Avenue, Mountain View, San Diego, San Diego County, California, 92113, United States"
249,6400,,COLLEGE GROVE,DR,"6400 COLLEGE GROVE DR, San Diego, CA, USA","College Grove Drive, San Diego, San Diego County, California, 92105, United States"
250,3800,,NATIONAL,AVE,"3800 NATIONAL AVE, San Diego, CA, USA","National Avenue, South Crest, San Diego, San Diego County, California, 92113, United States"
251,6500,,REFLECTION,DR,"6500 REFLECTION DR, San Diego, CA, USA","Reflection Drive, Grantville, San Diego, San Diego County, California, 92123, United States"
252,0,,06TH,AVE,"0 06TH AVE, San Diego, CA, USA",
253,0,,VESTA,ST,"0 VESTA ST, San Diego, CA, USA","Vesta Street, San Diego, San Diego County, California, 92136, United States"
254,0,,04TH,AVE,"0 04TH AVE, San Diego, CA, USA",
255,0,,EVERTS,ST,"0 EVERTS ST, San Diego, CA, USA","Everts Street, Pacific Beach, La Jolla, San Diego, San Diego County, California, 92109, United States"
256,3800,,NEWTON,AVE,"3800 NEWTON AVE, San Diego, CA, USA","Newton Avenue, Barrio Logan, San Diego, San Diego County, California, 92136, United States"
257,0,,UNIVERSITY,AVE,"0 UNIVERSITY AVE, San Diego, CA, USA","University Avenue, Cherokee Point, Normal Heights, San Diego, San Diego County, California, 92104, United States"
258,400,,06TH,AVE,"400 06TH AVE, San Diego, CA, USA",
259,4300,,OCEAN,BLV,"4300 OCEAN BLV, San Diego, CA, USA","Ocean Boulevard, San Diego, San Diego County, California, 92109, United States"
260,6000,,BROOKLYN,AVE,"6000 BROOKLYN AVE, San Diego, CA, USA","Brooklyn Avenue, Encanto, San Diego, San Diego County, California, 92114, United States"
261,4700,,EL CAJON,BLV,"4700 EL CAJON BLV, San Diego, CA, USA","4700, El Cajon Boulevard, Talmadge, Colina Park, San Diego, San Diego County, California, 92115, United States"
262,10900,,SCRIPPS RANCH,BLV,"10900 SCRIPPS RANCH BLV, San Diego, CA, USA","Scripps Ranch Boulevard, Scripps Ranch, San Diego, San Diego County, California, 92131, United States"
263,1700,,KLAUBER,AVE,"1700 KLAUBER AVE, San Diego, CA, USA","Klauber Avenue, Broadway Heights, San Diego, San Diego County, California, 92114, United States"
264,1100,,30TH (SB),ST,"1100 30TH (SB) ST, San Diego, CA, USA",
265,3300,,L,ST,"3300 L ST, San Diego, CA, USA","L Street, Grant Hill, San Diego, San Diego County, California, 92102, United States"
266,200,,SWEETWOOD,ST,"200 SWEETWOOD ST, San Diego, CA, USA","Sweetwood Street, Encanto, San Diego, San Diego County, California, 92114, United States"
267,800,,GARNET,AVE,"800 GARNET AVE, San Diego, CA, USA","Garnet Avenue, San Diego, San Diego County, California, 92109, United States"
268,3800,,GAMMA,ST,"3800 GAMMA ST, San Diego, CA, USA","Gamma Street, South Crest, San Diego, San Diego County, California, 92113, United States"
269,800,,05TH,AVE,"800 05TH AVE, San Diego, CA, USA",
270,5000,,REBEL,RD,"5000 REBEL RD, San Diego, CA, USA","Rebel Road, North Clairemont, San Diego, San Diego County, California, 92117, United States"
271,0,,SHOPS LOG,,"0 SHOPS LOG, San Diego, CA, USA",
272,4100,,WILLAMETTE,AVE,"4100 WILLAMETTE AVE, San Diego, CA, USA","Willamette Avenue, North Clairemont, San Diego, San Diego County, California, 92117, United States"
273,5900,,STREAMVIEW,DR,"5900 STREAMVIEW DR, San Diego, CA, USA","Streamview Drive, Rolando Park, San Diego, San Diego County, California, 92115, United States"
274,0,,ADIRONDACK ROW,,"0 ADIRONDACK ROW, San Diego, CA, USA","Adirondack Row, South Bay Terraces, San Diego, San Diego County, California, 92139, United States"
275,3900,,FRANKLIN,AVE,"3900 FRANKLIN AVE, San Diego, CA, USA","Franklin Avenue, Mountain View, San Diego, San Diego County, California, 92113, United States"
276,0,S,37TH,ST,"0 S 37TH ST, San Diego, CA, USA","South 37th Street, Mountain View, San Diego, San Diego County, California, 92113, United States"
277,100,,TREEWOOD,ST,"100 TREEWOOD ST, San Diego, CA, USA","Treewood Street, Encanto, San Diego, San Diego County, California, 92114, United States"
278,10200,,BLACK MOUNTAIN,RD,"10200 BLACK MOUNTAIN RD, San Diego, CA, USA","Black Mountain Road, Rancho Peñasquitos, San Diego, San Diego County, California, 92129, United States"
279,0,,CHP LOG,,"0 CHP LOG, San Diego, CA, USA",
280,5000,,FEDERAL,BLV,"5000 FEDERAL BLV, San Diego, CA, USA","Federal Boulevard, San Diego, San Diego County, California, 92114, United States"
281,0,,STORK,ST,"0 STORK ST, San Diego, CA, USA","Stork Street, Encanto, San Diego, San Diego County, California, 92114, United States"
282,4500,,LANDIS,ST,"4500 LANDIS ST, San Diego, CA, USA","Landis Street, San Diego, San Diego County, California, 92105, United States"
283,600,,05TH,AVE,"600 05TH AVE, San Diego, CA, USA",
284,0,,SKYLINE,DR,"0 SKYLINE DR, San Diego, CA, USA","Skyline Drive, Talich, Oceanside, San Diego County, California, 92054, United States"
285,0,,MADRONE,AVE,"0 MADRONE AVE, San Diego, CA, USA","Madrone Avenue, Encanto, San Diego, San Diego County, California, 92114, United States"
286,2100,,ADAMS,AVE,"2100 ADAMS AVE, San Diego, CA, USA","Adams Avenue, Kensington, Normal Heights, San Diego, San Diego County, California, 92116, United States"
287,4700,,NARRAGANSETT,AVE,"4700 NARRAGANSETT AVE, San Diego, CA, USA","Narragansett Avenue, Fleetridge, Ocean Beach, San Diego, San Diego County, California, 92107, United States"
288,6100,,BROOKLYN,AVE,"6100 BROOKLYN AVE, San Diego, CA, USA","Brooklyn Avenue, Encanto, San Diego, San Diego County, California, 92114, United States"
289,0,,LOG,,"0 LOG, San Diego, CA, USA",
290,2100,,JACOT,LN,"2100 JACOT LN, San Diego, CA, USA","Jacot Lane, San Diego, San Diego County, California, 92102, United States"
291,5800,,KINGS VIEW,CT,"5800 KINGS VIEW CT, San Diego, CA, USA","Kings View Court, South Encanto, San Diego, San Diego County, California, 92114, United States"
292,4000,,LOGAN,AVE,"4000 LOGAN AVE, San Diego, CA, USA","Logan Avenue, Sherman Heights, San Diego, San Diego County, California, 92101, United States"
293,7900,,SAN VICENTE,ST,"7900 SAN VICENTE ST, San Diego, CA, USA","San Vicente Street, Jamacha, San Diego, San Diego County, California, 92114, United States"
294,8000,,NEW SALEM,ST,"8000 NEW SALEM ST, San Diego, CA, USA","New Salem Street, Mira Mesa, San Diego, San Diego County, California, 92126, United States"
295,6100,,MADELINE,ST,"6100 MADELINE ST, San Diego, CA, USA","Madeline Street, Mid-City, San Diego, San Diego County, California, 92115, United States"
296,5100,,SEAGLEN,WAY,"5100 SEAGLEN WAY, San Diego, CA, USA","Seaglen Way, San Diego, San Diego County, California, 92154, United States"
297,700,,05TH,AVE,"700 05TH AVE, San Diego, CA, USA",
298,900,,GARNET,AVE,"900 GARNET AVE, San Diego, CA, USA","Garnet Avenue, San Diego, San Diego County, California, 92109, United States"
299,1700,,LINBROOK,DR,"1700 LINBROOK DR, San Diego, CA, USA","Linbrook Drive, Linda Vista, San Diego, San Diego County, California, 92018, United States"
300,0,,42ND,ST,"0 42ND ST, San Diego, CA, USA","42nd Street, Mount Hope, San Diego, San Diego County, California, 92102-4810, United States"
301,4400,,CONVOY,ST,"4400 CONVOY ST, San Diego, CA, USA","Convoy Street, Kearny Mesa, San Diego, San Diego County, California, 92111-2201, United States"
302,1900,,ABBOTT,ST,"1900 ABBOTT ST, San Diego, CA, USA","Abbott Street, Ocean Beach, San Diego, San Diego County, California, 92107, United States"
303,400,,06TH,AVE,"400 06TH AVE, San Diego, CA, USA",
304,8700,,EDULIS,CT,"8700 EDULIS CT, San Diego, CA, USA","Edulis Court, Rancho Peñasquitos, San Diego, San Diego County, California, 92129, United States"
305,800,,GARNET,AVE,"800 GARNET AVE, San Diego, CA, USA","Garnet Avenue, San Diego, San Diego County, California, 92109, United States"
306,13600,,WINSTANLEY,WAY,"13600 WINSTANLEY WAY, San Diego, CA, USA","Winstanley Way, San Diego, San Diego County, California, 92130, United States"
307,900,,06TH,AVE,"900 06TH AVE, San Diego, CA, USA",
308,5000,,MILLWOOD,RD,"5000 MILLWOOD RD, San Diego, CA, USA","Millwood Road, North Clairemont, San Diego, San Diego County, California, 92117, United States"
309,600,,05TH,AVE,"600 05TH AVE, San Diego, CA, USA",
310,0,,BALBOA,AVE,"0 BALBOA AVE, San Diego, CA, USA","Balboa Avenue, Kearny Mesa, San Diego, San Diego County, California, 92111-2201, United States"
311,2900,,IMPERIAL,AVE,"2900 IMPERIAL AVE, San Diego, CA, USA","Imperial Avenue, Mountain View, San Diego, San Diego County, California, 92102-4810, United States"
312,0,,LANDIS,ST,"0 LANDIS ST, San Diego, CA, USA","Landis Street, San Diego, San Diego County, California, 92105, United States"
313,200,S,PARDEE,ST,"200 S PARDEE ST, San Diego, CA, USA","South Pardee Street, Mountain View, San Diego, San Diego County, California, 92113, United States"
314,8100,,KNOLLWOOD,RD,"8100 KNOLLWOOD RD, San Diego, CA, USA","Knollwood Road, Lomita, San Diego, San Diego County, California, 92114, United States"
315,2200,,JUDSON,ST,"2200 JUDSON ST, San Diego, CA, USA","Judson Street, Linda Vista, San Diego, San Diego County, California, 92133, United States"
316,600,,TIBBETT,ST,"600 TIBBETT ST, San Diego, CA, USA","Tibbett Street, Jamacha, San Diego, San Diego County, California, 92114, United States"
317,4400,,EUCLID,AVE,"4400 EUCLID AVE, San Diego, CA, USA","Euclid Avenue, Chollas View, Emerald Hills, San Diego, San Diego County, California, 92102-4810, United States"
318,800,,GARNET,AVE,"800 GARNET AVE, San Diego, CA, USA","Garnet Avenue, San Diego, San Diego County, California, 92109, United States"
319,4400,,EUCLID,AVE,"4400 EUCLID AVE, San Diego, CA, USA","Euclid Avenue, Chollas View, Emerald Hills, San Diego, San Diego County, California, 92102-4810, United States"
320,4900,,CAROLINA,PL,"4900 CAROLINA PL, San Diego, CA, USA","Carolina Place, Chollas View, Emerald Hills, San Diego, San Diego County, California, 92102-4810, United States"
321,2100,,PARK,BLV,"2100 PARK BLV, San Diego, CA, USA","Park Blvd, San Diego, San Diego County, California, 92101, United States"
322,0,,06TH,AVE,"0 06TH AVE, San Diego, CA, USA",
323,4100,,ETA,ST,"4100 ETA ST, San Diego, CA, USA","Eta Street, Shelltown, San Diego, San Diego County, California, 92136, United States"
324,500,,04TH,AVE,"500 04TH AVE, San Diego, CA, USA",
325,0,,PARK RUN,RD,"0 PARK RUN RD, San Diego, CA, USA","Park Run Road, Rancho Peñasquitos, San Diego, San Diego County, California, 92129, United States"
326,300,,22ND,ST,"300 22ND ST, San Diego, CA, USA","22nd Street, Sherman Heights, San Diego, San Diego County, California, 92101, United States"
327,1000,,CYPRESS,AVE,"1000 CYPRESS AVE, San Diego, CA, USA","Cypress Avenue, Hillcrest, San Diego, San Diego County, California, 92103-3607, United States"
328,0,,05TH,AVE,"0 05TH AVE, San Diego, CA, USA",
329,4100,,GOVERNOR,DR,"4100 GOVERNOR DR, San Diego, CA, USA","Governor Drive, San Diego, San Diego County, California, 92122, United States"
330,13000,,AVENIDA GRANDE,,"13000 AVENIDA GRANDE, San Diego, CA, USA","Avenida Grande, San Diego, San Diego County, California, 92129-2935, United States"
331,800,,GARNET,AVE,"800 GARNET AVE, San Diego, CA, USA","Garnet Avenue, San Diego, San Diego County, California, 92109, United States"
332,200,N,BELMONT,AVE,"200 N BELMONT AVE, San Diego, CA, USA","Belmont Avenue, Kensington, Normal Heights, San Diego, San Diego County, California, 92116, United States"
333,1300,,04TH,AVE,"1300 04TH AVE, San Diego, CA, USA",
334,4900,,OCEAN VIEW,BLV,"4900 OCEAN VIEW BLV, San Diego, CA, USA","Ocean View Boulevard, Mountain View, San Diego, San Diego County, California, 92113, United States"
335,0,,04TH,AVE,"0 04TH AVE, San Diego, CA, USA",
336,12600,,NORTH TORREY PINES,RD,"12600 NORTH TORREY PINES RD, San Diego, CA, USA","North Torrey Pines Road, Torrey Pines, San Diego, San Diego County, California, 92093-0068, United States"
337,4100,,MOUNT BROSS,AVE,"4100 MOUNT BROSS AVE, San Diego, CA, USA","Mount Bross Avenue, Clairemont, San Diego, San Diego County, California, 92117, United States"
338,800,S,47TH,ST,"800 S 47TH ST, San Diego, CA, USA","South 47th Street, Lincoln Park, San Diego, San Diego County, California, 92102-4810, United States"
339,0,,DERRICK,DR,"0 DERRICK DR, San Diego, CA, USA","Derrick Drive, Clairemont, San Diego, San Diego County, California, 92117, United States"
340,0,,CAD TROUBLE LOG,,"0 CAD TROUBLE LOG, San Diego, CA, USA",
341,800,,GARNET,AVE,"800 GARNET AVE, San Diego, CA, USA","Garnet Avenue, San Diego, San Diego County, California, 92109, United States"
342,4300,,KEELER,AVE,"4300 KEELER AVE, San Diego, CA, USA","Keeler Avenue, South Crest, San Diego, San Diego County, California, 92102-4810, United States"
343,3500,,LOGAN,AVE,"3500 LOGAN AVE, San Diego, CA, USA","Logan Avenue, Sherman Heights, San Diego, San Diego County, California, 92101, United States"
344,4500,,FEDERAL,BLV,"4500 FEDERAL BLV, San Diego, CA, USA","Federal Boulevard, San Diego, San Diego County, California, 92114, United States"
345,900,,05TH,AVE,"900 05TH AVE, San Diego, CA, USA",
346,0,S,43RD,ST,"0 S 43RD ST, San Diego, CA, USA","South 43rd Street, South Crest, San Diego, San Diego County, California, 92102-4810, United States"
347,7100,,JACMAR,AVE,"7100 JACMAR AVE, San Diego, CA, USA","Jacmar Avenue, Jamacha, San Diego, San Diego County, California, 92114, United States"
348,3200,,ADAMS,AVE,"3200 ADAMS AVE, San Diego, CA, USA","3200, Adams Avenue, Normal Heights, San Diego, San Diego County, California, 92116, United States"
349,4100,,ETA,ST,"4100 ETA ST, San Diego, CA, USA","Eta Street, Shelltown, San Diego, San Diego County, California, 92136, United States"
350,4400,,CORONADO,AVE,"4400 CORONADO AVE, San Diego, CA, USA","Coronado Avenue, Coronado, San Diego County, California, 92135, United States"
351,4100,,HAMILTON,ST,"4100 HAMILTON ST, San Diego, CA, USA","Hamilton Street, North Park, San Diego, San Diego County, California, 92103-3609, United States"
352,600,,05TH,AVE,"600 05TH AVE, San Diego, CA, USA",
353,200,,TEROL,CT,"200 TEROL CT, San Diego, CA, USA","Terol Court, South Encanto, San Diego, San Diego County, California, 92114, United States"
354,3100,,ADMIRAL,AVE,"3100 ADMIRAL AVE, San Diego, CA, USA","Admiral Avenue, Serra Mesa, San Diego, San Diego County, California, 92123, United States"
355,4000,,TEXAS,ST,"4000 TEXAS ST, San Diego, CA, USA","Texas Street, Mission Valley, San Diego, San Diego County, California, 92018, United States"
356,400,S,RADIO,DR,"400 S RADIO DR, San Diego, CA, USA","South Radio Drive, South Encanto, San Diego, San Diego County, California, 92114, United States"
357,400,,A,ST,"400 A ST, San Diego, CA, USA","San Diego, San Diego County, California, United States"
358,0,,WILBUR,AVE,"0 WILBUR AVE, San Diego, CA, USA","Wilbur Avenue, Pacific Beach, San Diego, San Diego County, California, 92109, United States"
359,4000,,TEXAS,ST,"4000 TEXAS ST, San Diego, CA, USA","Texas Street, Mission Valley, San Diego, San Diego County, California, 92018, United States"
360,0,,08TH,AVE,"0 08TH AVE, San Diego, CA, USA",
361,1800,,PALM (SB),AVE,"1800 PALM (SB) AVE, San Diego, CA, USA",
362,0,,STREAMVIEW,DR,"0 STREAMVIEW DR, San Diego, CA, USA","Streamview Drive, San Diego, San Diego County, California, 92105, United States"
363,3800,,BAYSIDE,WAL,"3800 BAYSIDE WAL, San Diego, CA, USA",
364,700,,05TH,AVE,"700 05TH AVE, San Diego, CA, USA",
365,0,,05TH,AVE,"0 05TH AVE, San Diego, CA, USA",
366,4300,,OCEAN,BLV,"4300 OCEAN BLV, San Diego, CA, USA","Ocean Boulevard, San Diego, San Diego County, California, 92109, United States"
367,6100,,DAISY,AVE,"6100 DAISY AVE, San Diego, CA, USA","Daisy Avenue, Alta Vista, San Diego, San Diego County, California, 92114, United States"
368,0,,JAMACHA,RD,"0 JAMACHA RD, San Diego, CA, USA","Jamacha Road, San Diego County, California, 92019, United States"
369,4800,,LOUISE,DR,"4800 LOUISE DR, San Diego, CA, USA","Louise Drive, Talmadge, San Diego, San Diego County, California, 92182, United States"
370,0,,05TH,AVE,"0 05TH AVE, San Diego, CA, USA",
371,9200,,REGENTS,RD,"9200 REGENTS RD, San Diego, CA, USA","Regents Road, San Diego, San Diego County, California, 92122, United States"
372,500,,04TH,AVE,"500 04TH AVE, San Diego, CA, USA",
373,0,,05TH,AVE,"0 05TH AVE, San Diego, CA, USA",
374,4300,,LANDIS,ST,"4300 LANDIS ST, San Diego, CA, USA","Landis Street, San Diego, San Diego County, California, 92105, United States"
375,7600,,DEEP DELL,CT,"7600 DEEP DELL CT, San Diego, CA, USA","Deep Dell Court, Skyline, San Diego, San Diego County, California, 91239, United States"
376,3700,,COLLEGE,AVE,"3700 COLLEGE AVE, San Diego, CA, USA","College Avenue, Rolando Park, San Diego, San Diego County, California, 92115, United States"
377,1100,S,41ST,ST,"1100 S 41ST ST, San Diego, CA, USA","South 41st Street, South Crest, San Diego, San Diego County, California, 92113, United States"
378,800,,04TH,AVE,"800 04TH AVE, San Diego, CA, USA",
379,400,,06TH,AVE,"400 06TH AVE, San Diego, CA, USA",
380,0,,SPRINGHURST,DR,"0 SPRINGHURST DR, San Diego, CA, USA","Springhurst Drive, San Diego, San Diego County, California, 92131, United States"
381,3800,,VAN DYKE,AVE,"3800 VAN DYKE AVE, San Diego, CA, USA","Van Dyke Avenue, Kensington, San Diego, San Diego County, California, 92116, United States"
382,700,,05TH,AVE,"700 05TH AVE, San Diego, CA, USA",
383,4400,,50TH,ST,"4400 50TH ST, San Diego, CA, USA","50th Street, Colina Park, San Diego, San Diego County, California, 92105, United States"
384,200,,05TH,AVE,"200 05TH AVE, San Diego, CA, USA",
385,6400,,BELL BLUFF,AVE,"6400 BELL BLUFF AVE, San Diego, CA, USA","Bell Bluff Avenue, San Carlos, San Diego, San Diego County, California, 92120, United States"
386,7600,,MISSION GORGE,RD,"7600 MISSION GORGE RD, San Diego, CA, USA","Mission Gorge Road, Allied Gardens, San Diego, San Diego County, California, 92120, United States"
387,3900,,CLAIREMONT MESA,BLV,"3900 CLAIREMONT MESA BLV, San Diego, CA, USA","Clairemont Mesa Boulevard, San Diego, San Diego County, California, 92124, United States"
388,0,,05TH,AVE,"0 05TH AVE, San Diego, CA, USA",
389,2600,,HIGHLAND,AVE,"2600 HIGHLAND AVE, San Diego, CA, USA","Highland Avenue, Chula Vista, San Diego County, California, 92010-1407, United States"
390,2100,,PACIFIC BEACH,DR,"2100 PACIFIC BEACH DR, San Diego, CA, USA","Pacific Beach Drive, Pacific Beach, San Diego, San Diego County, California, 92109, United States"
391,0,NB,805,,"0 NB 805, San Diego, CA, USA","NB, Comet Circle, San Marcos, San Diego County, California, 92096, United States"
392,600,,05TH,AVE,"600 05TH AVE, San Diego, CA, USA",
393,800,,GARNET,AVE,"800 GARNET AVE, San Diego, CA, USA","Garnet Avenue, San Diego, San Diego County, California, 92109, United States"
394,2400,,GARNET,AVE,"2400 GARNET AVE, San Diego, CA, USA","Garnet Avenue, San Diego, San Diego County, California, 92109, United States"
395,6400,,BELL BLUFF,AVE,"6400 BELL BLUFF AVE, San Diego, CA, USA","Bell Bluff Avenue, San Carlos, San Diego, San Diego County, California, 92120, United States"
396,1800,,SMYTHE,AVE,"1800 SMYTHE AVE, San Diego, CA, USA","Smythe Avenue, San Ysidro, San Diego, San Diego County, California, 92173, United States"
397,1800,,TAMARAND,WAY,"1800 TAMARAND WAY, San Diego, CA, USA","Tamarand Way, San Diego, San Diego County, California, 91932, United States"
398,1000,,PACIFIC BEACH,DR,"1000 PACIFIC BEACH DR, San Diego, CA, USA","Pacific Beach Drive, Pacific Beach, San Diego, San Diego County, California, 92109, United States"
399,6900,,LA JOLLA,BLV,"6900 LA JOLLA BLV, San Diego, CA, USA","La Jolla Boulevard, La Jolla, San Diego, San Diego County, California, 92037-4291, United States"
400,3900,,GAMMA,ST,"3900 GAMMA ST, San Diego, CA, USA","Gamma Street, South Crest, San Diego, San Diego County, California, 92113, United States"
401,3500,,INDIA,ST,"3500 INDIA ST, San Diego, CA, USA","India Street, Five Points, Mission Hills, San Diego, San Diego County, California, 92103, United States"
402,800,,27TH (SB),ST,"800 27TH (SB) ST, San Diego, CA, USA","27th (Sb) Street, Chula Vista, San Diego County, California, 92154, United States"
403,700,,05TH,AVE,"700 05TH AVE, San Diego, CA, USA",
404,800,,GARNET,AVE,"800 GARNET AVE, San Diego, CA, USA","Garnet Avenue, San Diego, San Diego County, California, 92109, United States"
405,4000,,33RD,ST,"4000 33RD ST, San Diego, CA, USA","33rd Street, Normal Heights, San Diego, San Diego County, California, 92116, United States"
406,1400,,VINE,ST,"1400 VINE ST, San Diego, CA, USA","Vine Street, Five Points, Mission Hills, San Diego, San Diego County, California, 92103, United States"
407,500,,PARK,BLV,"500 PARK BLV, San Diego, CA, USA","Park Blvd, San Diego, San Diego County, California, 92101, United States"
